region,month,accidents including damages,accidents including injuries,accidents including mortalities,total number of accidents,injuries,mortalities,intact,total number of people involved in RTA
Ar Riyad,Safar,8461,264,118,8843,404,140,15417,15961
Ar Riyad,Rabeea Awal,9473,271,106,9850,428,132,15401,15961
Ar Riyad,Rabeea Thany,9133,269,112,9514,426,148,14401,14975
Ar Riyad,Jamad Awal,9464,239,88,9791,386,123,13419,13928
Ar Riyad,Jamad Thany,8704,224,75,9003,317,94,15918,16329
Ar Riyad,Ragab,8435,259,93,8787,400,120,15172,15692
Ar Riyad, Shaaban,8803,203,72,9078,368,97,17048,17513
Ar Riyad, Ramadan,6659,242,111,7012,404,123,12613,13140
Ar Riyad, Shawwal,6243,178,72,6493,372,107,14518,14997
Ar Riyad,Zy Aqeaada,6213,191,73,6477,311,89,13389,13789
Ar Riyad,Zy Alhegga,4708,210,71,4989,361,97,9499,9957
Aseer,Moharram,2863,53,57,2973,171,68,4412,4651
Aseer,Safar,2067,62,48,2177,180,58,3663,3901
Aseer,Rabeea Awal,2315,61,47,2423,177,65,4002,4244
Aseer,Rabeea Thany,2167,67,45,2279,184,59,4111,4354
Aseer,Jamad Awal,2084,54,55,2193,186,60,3715,3961
Aseer,Jamad Thany,1863,76,47,1986,202,55,2847,3104
Aseer,Ragab,2386,76,51,2513,224,67,4687,4978
Aseer, Shaaban,2556,68,64,2688,214,83,4473,4770
Aseer, Ramadan,1382,82,69,1533,245,91,2261,2597
Aseer, Shawwal,1250,71,63,1384,218,83,2304,2605
Aseer,Zy Aqeaada,1717,62,45,1824,168,62,3298,3528
Aseer,Zy Alhegga,1144,73,55,1272,199,77,2633,2909
Ash Sharqiyah,Moharram,6377,186,76,6639,336,100,12118,12554
Ash Sharqiyah,Safar,6227,203,57,6487,400,70,11204,11674
Ash Sharqiyah,Rabeea Awal,6448,196,57,6701,373,69,12106,12548
Ash Sharqiyah,Rabeea Thany,5944,183,84,6211,365,103,11522,11990
Ash Sharqiyah,Jamad Awal,6717,203,63,6983,373,80,12730,13183
Ash Sharqiyah,Jamad Thany,6398,189,68,6655,359,82,11368,11809
Ash Sharqiyah,Ragab,5986,171,64,6221,374,71,11420,11865
Ash Sharqiyah, Shaaban,6113,176,49,6338,348,62,10954,11364
Ash Sharqiyah, Ramadan,5070,120,51,5241,302,65,13881,14248
Ash Sharqiyah, Shawwal,8145,184,67,8396,287,98,11742,12127
Ash Sharqiyah,Zy Aqeaada,7473,156,55,7684,265,69,11473,11807
Ash Sharqiyah,Zy Alhegga,7689,123,65,7877,291,94,13618,14003
At-Taif,Moharram,883,204,37,1124,326,45,1420,1791
At-Taif,Safar,939,193,34,1166,272,42,1352,1666
At-Taif,Rabeea Awal,1061,264,40,1365,462,52,1676,2190
At-Taif,Rabeea Thany,1148,287,34,1469,420,38,1363,1821
At-Taif,Jamad Awal,1111,274,26,1411,415,33,1802,2250
At-Taif,Jamad Thany,1143,247,28,1418,386,29,2223,2638
At-Taif,Ragab,1084,277,39,1400,424,45,2202,2671
At-Taif, Shaaban,1217,255,43,1515,351,50,2372,2773
At-Taif, Ramadan,1352,187,23,1562,333,33,1875,2241
At-Taif, Shawwal,1205,242,51,1498,333,62,2166,2561
At-Taif,Zy Aqeaada,1122,186,26,1334,264,33,1763,2060
At-Taif,Zy Alhegga,1033,214,40,1287,393,45,1827,2265
Hail,Moharram,658,44,13,715,48,17,1007,1072
Hail,Safar,757,51,31,839,60,37,1161,1258
Hail,Rabeea Awal,695,65,22,782,71,26,954,1051
Hail,Rabeea Thany,734,65,28,827,71,31,1138,1240
Hail,Jamad Awal,724,77,24,825,82,27,1128,1237
Hail,Jamad Thany,787,95,23,905,93,20,1244,1357
Hail,Ragab,628,54,14,696,72,18,954,1044
Hail, Shaaban,641,89,19,749,93,23,1007,1123
Hail, Ramadan,723,45,18,786,52,22,1105,1179
Hail, Shawwal,663,45,9,717,51,13,1011,1075
Hail,Zy Aqeaada,783,32,11,826,37,17,1185,1239
Hail,Zy Alhegga,670,33,9,712,43,14,1011,1068
Jazan,Moharram,1872,178,31,2081,161,39,3829,4029
Jazan,Safar,1741,174,34,1949,210,49,3819,4078
Jazan,Rabeea Awal,1645,114,43,1802,215,48,3080,3343
Jazan,Rabeea Thany,1649,114,37,1800,220,50,2591,2861
Jazan,Jamad Awal,1596,106,52,1754,222,52,3526,3800
Jazan,Jamad Thany,1582,89,14,1685,172,17,3368,3557
Jazan,Ragab,1283,68,14,1365,102,19,2987,3108
Jazan, Shaaban,2147,119,26,2292,135,28,3953,4116
Jazan, Ramadan,1983,112,31,2126,215,37,3558,3810
Jazan, Shawwal,1586,90,27,1703,178,33,3324,3535
Jazan,Zy Aqeaada,1406,77,40,1523,187,56,3497,3740
Jazan,Zy Alhegga,1886,164,31,2081,190,38,3831,4059
Jiddah,Moharram,5797,172,33,6002,248,39,12225,12512
Jiddah,Safar,4829,184,35,5048,252,43,10707,11002
Jiddah,Rabeea Awal,5178,176,28,5382,266,31,10907,11204
Jiddah,Rabeea Thany,4203,186,32,4421,312,35,9914,10261
Jiddah,Jamad Awal,4242,194,33,4469,313,40,9881,10234
Jiddah,Jamad Thany,4163,175,32,4370,248,37,10046,10331
Jiddah,Ragab,4298,184,29,4511,306,35,9998,10339
Jiddah, Shaaban,3965,179,24,4168,254,37,9439,9730
Jiddah, Ramadan,2566,147,35,2748,224,38,5998,6260
Jiddah, Shawwal,1710,126,23,1859,204,34,418,656
Jiddah,Zy Aqeaada,1780,132,27,1939,183,27,4145,4355
Jiddah,Zy Alhegga,2316,110,25,2451,176,28,4599,4803
Madinah,Moharram,908,155,34,1097,273,40,665,978
Madinah,Safar,882,165,46,1093,292,57,715,1064
Madinah,Rabeea Awal,906,130,34,1070,239,49,607,895
Madinah,Rabeea Thany,982,147,38,1167,259,52,669,980
Madinah,Jamad Awal,1091,125,24,1240,245,29,602,876
Madinah,Jamad Thany,1300,119,30,1449,216,47,510,773
Madinah,Ragab,1149,108,36,1293,207,50,525,782
Madinah, Shaaban,1348,126,35,1509,264,50,619,933
Madinah, Ramadan,1483,135,45,1663,282,58,267,607
Madinah, Shawwal,1240,88,40,1368,218,54,519,791
Madinah,Zy Aqeaada,1426,89,33,1548,161,43,422,626
Madinah,Zy Alhegga,1438,94,41,1573,261,51,596,908
Makkah,Moharram,5800,98,41,5939,191,47,9504,9742
Makkah,Safar,6626,93,45,6764,224,52,9998,10274
Makkah,Rabeea Awal,7638,107,50,7795,327,68,11550,11945
Makkah,Rabeea Thany,6621,97,47,6765,235,52,11401,11688
Makkah,Jamad Awal,6130,109,41,6280,295,68,10597,10960
Makkah,Jamad Thany,7267,145,48,7460,366,55,14368,14789
Makkah,Ragab,6234,143,44,6421,222,64,12769,13055
Makkah, Shaaban,5631,111,48,5790,241,60,10883,11184
Makkah, Ramadan,8384,123,45,8552,306,57,14873,15236
Makkah, Shawwal,5864,80,58,6002,260,78,11034,11372
Makkah,Zy Aqeaada,6114,98,40,6252,236,57,11901,12194
Makkah,Zy Alhegga,7369,188,47,7604,355,52,12620,13027
Najran,Moharram,209,70,16,295,70,16,327,413
Najran,Safar,235,72,14,321,72,14,347,433
Najran,Rabeea Awal,230,78,19,327,78,19,277,374
Najran,Rabeea Thany,204,91,15,310,91,15,248,354
Najran,Jamad Awal,111,82,15,208,82,15,111,208
Najran,Jamad Thany,218,63,17,298,63,17,258,338
Najran,Ragab,181,55,17,253,55,17,221,293
Najran, Shaaban,193,64,12,269,64,12,225,301
Najran, Ramadan,151,70,23,244,70,23,205,298
Najran, Shawwal,214,31,10,255,31,10,256,297
Najran,Zy Aqeaada,141,22,14,177,42,14,205,261
Najran,Zy Alhegga,166,48,22,236,48,22,249,319
Northern Region,Moharram,1050,22,7,1079,40,8,1849,1897
Northern Region,Safar,992,18,7,1017,34,7,1911,1952
Northern Region,Rabeea Awal,1053,14,10,1077,21,11,1828,1860
Northern Region,Rabeea Thany,946,18,10,974,39,11,1696,1746
Northern Region,Jamad Awal,944,24,12,980,35,14,1793,1842
Northern Region,Jamad Thany,912,21,7,940,32,8,1717,1757
Northern Region,Ragab,780,21,10,811,32,11,1552,1595
Northern Region, Shaaban,1002,17,6,1025,31,8,1905,1944
Northern Region, Ramadan,902,17,5,924,33,12,1614,1659
Northern Region, Shawwal,889,11,6,906,14,7,1697,1718
Northern Region,Zy Aqeaada,867,12,2,881,14,3,1643,1660
Northern Region,Zy Alhegga,890,24,12,926,49,12,1728,1789
Qaseem,Moharram,2261,97,28,2386,107,31,4380,4518
Qaseem,Safar,1984,104,20,2108,149,22,3565,3736
Qaseem,Rabeea Awal,2007,107,21,2135,129,21,3726,3876
Qaseem,Rabeea Thany,2045,96,37,2178,118,37,3330,3485
Qaseem,Jamad Awal,1924,83,24,2031,90,27,3454,3571
Qaseem,Jamad Thany,1753,92,17,1862,105,19,2186,2310
Qaseem,Ragab,1694,99,22,1815,104,27,3250,3381
Qaseem, Shaaban,1723,101,23,1847,180,25,3114,3319
Qaseem, Ramadan,1704,112,25,1841,137,30,3302,3469
Qaseem, Shawwal,1559,85,29,1673,155,36,2946,3137
Qaseem,Zy Aqeaada,1422,49,12,1483,65,18,2889,2972
Qaseem,Zy Alhegga,928,97,21,1046,107,26,2092,2225
Tabouk,Moharram,1635,53,20,1708,108,25,4142,4275
Tabouk,Safar,1830,55,20,1905,128,24,3056,3208
Tabouk,Rabeea Awal,1680,48,16,1744,69,20,2113,2202
Tabouk,Rabeea Thany,1402,49,28,1479,87,37,2063,2187
Tabouk,Jamad Awal,801,66,19,886,112,26,1330,1468
Tabouk,Jamad Thany,650,66,16,732,166,23,216,405
Tabouk,Ragab,618,55,19,692,96,25,401,522
Tabouk, Shaaban,626,67,27,720,92,33,204,329
Tabouk, Ramadan,430,57,34,521,107,48,11,166
Tabouk, Shawwal,325,45,17,387,93,24,11,128
Tabouk,Zy Aqeaada,349,54,23,426,87,28,14,129
Tabouk,Zy Alhegga,433,58,22,513,98,35,52,185
,,,,,,,,,
