region,month,accidents including damages,accidents including injuries,accidents including mortalities,total number of accidents,injuries,mortalities,intact,total number of people involved in RTA
Al-Baha,Moharram,41,42,10,93,79,14,138,231
Al-Baha,Safar,149,57,7,213,100,8,399,507
Al-Baha,Rabeea Awal,107,58,8,173,108,8,286,402
Al-Baha,Rabeea Thany,131,40,9,180,77,10,326,413
Al-Baha,Jamad Awal,85,42,6,133,102,7,229,338
Al-Baha,Jamad Thany,80,45,6,131,89,7,235,331
Al-Baha,Ragab,37,34,15,86,54,17,107,178
Al-Baha, Shaaban,45,55,9,109,93,10,151,254
Al-Baha, Ramadan,30,27,8,65,71,13,85,169
Al-Baha, Shawwal,18,36,11,65,74,17,69,160
Al-Baha,Zy Aqeaada,34,42,8,84,67,11,91,169
Al-Baha,Zy Alhegga,29,43,10,82,93,12,63,168
Al-Jouf,Moharram,503,28,16,547,51,16,992,1059
Al-Jouf,Safar,528,41,13,582,74,16,1085,1175
Al-Jouf,Rabeea Awal,548,23,4,575,47,6,1078,1131
Al-Jouf,Rabeea Thany,507,25,18,550,45,19,985,1049
Al-Jouf,Jamad Awal,518,24,7,549,49,11,1011,1071
Al-Jouf,Jamad Thany,513,18,9,540,41,9,970,1020
Al-Jouf,Ragab,479,20,11,510,41,16,915,972
Al-Jouf, Shaaban,428,22,8,458,46,9,821,876
Al-Jouf, Ramadan,347,19,11,377,31,11,679,721
Al-Jouf, Shawwal,282,12,8,302,17,15,558,590
Al-Jouf,Zy Aqeaada,294,16,9,319,17,18,602,637
Al-Jouf,Zy Alhegga,306,11,11,328,21,17,610,648
Al-Qurayyat,Moharram,437,19,6,462,25,7,896,928
Al-Qurayyat,Safar,512,7,4,523,20,5,1037,1062
Al-Qurayyat,Rabeea Awal,509,15,10,534,42,10,1039,1091
Al-Qurayyat,Rabeea Thany,491,20,3,514,31,4,1000,1035
Al-Qurayyat,Jamad Awal,498,14,5,517,29,10,1005,1044
Al-Qurayyat,Jamad Thany,452,16,4,472,39,5,915,959
Al-Qurayyat,Ragab,412,14,3,429,22,3,837,862
Al-Qurayyat, Shaaban,367,15,3,385,24,3,745,772
Al-Qurayyat, Ramadan,344,14,2,360,32,7,692,731
Al-Qurayyat, Shawwal,211,14,6,231,43,9,433,485
Al-Qurayyat,Zy Aqeaada,165,22,6,193,35,8,351,394
Al-Qurayyat,Zy Alhegga,190,17,5,212,40,6,394,440
Ar Riyad,Moharram,9747,242,99,10088,363,129,17827,18319
