region,month,accidents including damages,accidents including injuries,accidents including mortalities,total number of accidents,injuries,mortalities,intact,total number of people involved in RTA
Al-Baha,Moharram,44,30,13,87,78,17,138,233
Al-Baha,Safar,52,39,6,97,67,7,139,213
Al-Baha,Rabeea Awal,131,32,8,171,67,8,272,347
Al-Baha,Rabeea Thany,140,38,6,184,67,6,278,351
Al-Baha,Jamad Awal,84,53,4,141,106,14,204,324
Al-Baha,Jamad Thany,105,47,7,159,67,7,260,334
Al-Baha,Ragab,113,36,8,157,82,14,249,345
Al-Baha, Shaaban,116,41,4,161,73,5,294,372
Al-Baha, Ramadan,107,45,5,157,84,6,252,342
Al-Baha, Shawwal,108,48,6,162,89,10,291,390
Al-Baha,Zy Aqeaada,123,43,10,176,78,10,325,413
Al-Baha,Zy Alhegga,70,38,4,112,77,7,170,254
Al-Jouf,Moharram,340,16,7,363,34,8,576,618
Al-Jouf,Safar,331,17,9,357,36,9,627,672
Al-Jouf,Rabeea Awal,284,12,6,302,25,6,558,589
Al-Jouf,Rabeea Thany,325,9,8,342,20,9,628,657
Al-Jouf,Jamad Awal,257,14,5,276,20,5,488,513
Al-Jouf,Jamad Thany,269,9,8,286,23,11,521,555
Al-Jouf,Ragab,259,12,7,278,21,7,512,540
Al-Jouf, Shaaban,269,14,7,290,27,10,494,531
Al-Jouf, Ramadan,242,15,4,261,26,9,452,487
Al-Jouf, Shawwal,278,12,9,299,26,12,514,552
Al-Jouf,Zy Aqeaada,264,12,9,285,19,10,544,573
Al-Jouf,Zy Alhegga,291,16,6,313,37,6,556,599
Al-Qurayyat,Moharram,320,21,0,341,27,0,658,685
Al-Qurayyat,Safar,295,17,11,323,40,13,610,663
Al-Qurayyat,Rabeea Awal,357,17,5,379,30,9,725,764
Al-Qurayyat,Rabeea Thany,322,16,2,340,23,2,654,679
Al-Qurayyat,Jamad Awal,287,12,3,302,23,4,580,607
Al-Qurayyat,Jamad Thany,313,8,0,321,14,0,630,644
Al-Qurayyat,Ragab,308,16,3,327,29,5,626,660
Al-Qurayyat, Shaaban,248,16,0,264,22,0,510,532
Al-Qurayyat, Ramadan,214,12,4,230,39,8,434,481
Al-Qurayyat, Shawwal,270,10,2,282,16,2,548,566
Al-Qurayyat,Zy Aqeaada,255,9,4,268,19,4,516,539
Al-Qurayyat,Zy Alhegga,309,11,6,326,22,8,629,659
Ar Riyad,Moharram,5047,277,75,5399,393,100,12435,12928
Ar Riyad,Safar,5941,255,78,6274,433,98,9110,9641
Ar Riyad,Rabeea Awal,7808,271,87,8166,455,105,15385,15945
Ar Riyad,Rabeea Thany,7821,266,79,8166,427,91,15181,15699
Ar Riyad,Jamad Awal,7923,237,81,8241,358,96,15437,15891
Ar Riyad,Jamad Thany,6449,259,79,6787,379,96,13404,13879
Ar Riyad,Ragab,6955,227,65,7247,383,83,14280,14746
Ar Riyad, Shaaban,6516,258,63,6837,393,75,14450,14918
Ar Riyad, Ramadan,4997,229,71,5297,335,82,12342,12759
Ar Riyad, Shawwal,5226,238,80,5544,384,100,9933,10417
Ar Riyad,Zy Aqeaada,5620,197,54,5871,313,65,12267,12645
Ar Riyad,Zy Alhegga,5786,183,86,6055,301,100,13303,13704
Aseer,Moharram,1649,85,47,1781,227,58,3544,3829
Aseer,Safar,2138,79,52,2269,240,59,4382,4681
Aseer,Rabeea Awal,2248,75,55,2378,163,62,4213,4438
Aseer,Rabeea Thany,1996,68,44,2108,151,53,2402,2606
Aseer,Jamad Awal,1470,69,40,1579,209,49,3031,3289
Aseer,Jamad Thany,2160,62,49,2271,162,53,4282,4497
Aseer,Ragab,2419,68,41,2528,193,46,4171,4410
Aseer, Shaaban,2225,48,59,2332,149,72,5980,6201
Aseer, Ramadan,2075,62,52,2189,143,60,3663,3866
Aseer, Shawwal,2280,59,56,2395,216,74,4102,4392
Aseer,Zy Aqeaada,1952,56,37,2045,156,50,3256,3462
Aseer,Zy Alhegga,1996,40,53,2089,183,60,4171,4414
Ash Sharqiyah,Moharram,6258,172,46,6476,218,62,12450,12730
Ash Sharqiyah,Safar,6883,198,54,7135,274,69,12614,12957
Ash Sharqiyah,Rabeea Awal,6511,164,47,6722,271,58,12514,12843
Ash Sharqiyah,Rabeea Thany,6124,172,53,6349,294,79,12708,13081
Ash Sharqiyah,Jamad Awal,5829,154,32,6015,238,40,12163,12441
Ash Sharqiyah,Jamad Thany,2023,97,31,2151,229,42,4771,5042
Ash Sharqiyah,Ragab,1737,127,46,1910,267,53,3458,3778
Ash Sharqiyah, Shaaban,1754,158,49,1961,276,60,4832,5168
Ash Sharqiyah, Ramadan,1476,152,41,1669,218,53,4234,4505
Ash Sharqiyah, Shawwal,1513,163,46,1722,224,55,4382,4661
Ash Sharqiyah,Zy Aqeaada,1455,138,34,1627,212,45,4018,4275
Ash Sharqiyah,Zy Alhegga,1206,98,36,1340,248,45,3221,3514
At-Taif,Moharram,1673,194,26,1893,270,28,2872,3170
At-Taif,Safar,1819,206,22,2047,290,28,2344,2662
At-Taif,Rabeea Awal,1758,225,31,2014,365,37,2733,3135
At-Taif,Rabeea Thany,1656,226,29,1911,286,35,2948,3269
At-Taif,Jamad Awal,1398,161,22,1581,247,28,1675,1950
At-Taif,Jamad Thany,1048,170,30,1248,271,33,1422,1726
At-Taif,Ragab,1102,193,24,1319,279,34,1612,1925
At-Taif, Shaaban,944,195,27,1166,300,33,1450,1783
At-Taif, Ramadan,1056,187,33,1276,383,39,1612,2034
At-Taif, Shawwal,978,173,14,1165,309,17,1894,2220
At-Taif,Zy Aqeaada,1208,152,9,1369,289,11,1869,2169
At-Taif,Zy Alhegga,1117,168,25,1310,277,32,1765,2074
Hail,Moharram,699,54,11,764,47,9,1108,1164
Hail,Safar,827,47,17,891,56,20,1260,1336
Hail,Rabeea Awal,767,76,19,862,60,29,1204,1293
Hail,Rabeea Thany,427,44,11,482,79,13,631,723
Hail,Jamad Awal,430,44,13,487,53,14,663,730
Hail,Jamad Thany,520,60,9,589,63,9,883,955
Hail,Ragab,433,77,6,516,83,6,685,774
