region,month,accidents including damages,accidents including injuries,accidents including mortalities,total number of accidents,injuries,mortalities,intact,total number of people involved in RTA
Jazan,Moharram,1987,106,33,2126,203,35,3572,3810
Jazan,Safar,1944,100,36,2080,184,45,3725,3954
Jazan,Rabeea Awal,2142,119,31,2292,210,41,3865,4116
Jazan,Rabeea Thany,2021,110,37,2168,184,46,2795,3025
Jazan,Jamad Awal,1873,112,34,2019,199,53,2659,2911
Jazan,Jamad Thany,1745,161,43,1949,176,54,3744,3974
Jazan,Ragab,2207,105,30,2342,195,36,3138,3369
Jazan, Shaaban,2016,118,38,2172,239,42,3123,3404
Jazan, Ramadan,2049,100,31,2180,170,38,3804,4012
Jazan, Shawwal,2116,90,37,2243,162,40,3312,3514
Jazan,Zy Aqeaada,2028,91,23,2142,155,35,3235,3425
Jazan,Zy Alhegga,2032,89,39,2160,182,49,3484,3715
Jiddah,Moharram,5466,224,39,5729,319,41,11608,11968
Jiddah,Safar,5134,216,48,5398,365,61,10658,11084
Jiddah,Rabeea Awal,5158,219,44,5421,331,48,11112,11491
Jiddah,Rabeea Thany,5196,201,31,5428,324,39,11501,11864
Jiddah,Jamad Awal,5409,196,49,5654,310,66,11903,12279
Jiddah,Jamad Thany,5141,210,34,5385,324,50,12114,12488
Jiddah,Ragab,5283,155,40,5478,244,50,11328,11622
Jiddah, Shaaban,5389,208,34,5631,308,46,11122,11476
Jiddah, Ramadan,4389,183,55,4627,297,73,10012,10382
Jiddah, Shawwal,4440,181,38,4659,308,47,10750,11105
Jiddah,Zy Aqeaada,4779,179,35,4993,303,49,10784,11136
Jiddah,Zy Alhegga,4035,166,46,4247,282,60,8715,9057
Madinah,Moharram,1009,204,42,1255,341,63,832,1236
Madinah,Safar,914,218,52,1184,378,62,858,1298
Madinah,Rabeea Awal,873,196,50,1119,357,61,818,1236
Madinah,Rabeea Thany,1008,184,43,1235,334,67,784,1185
Madinah,Jamad Awal,998,184,43,1225,337,60,807,1204
Madinah,Jamad Thany,956,187,52,1195,403,92,895,1390
Madinah,Ragab,1135,176,41,1352,369,61,911,1341
Madinah, Shaaban,1150,167,45,1362,347,58,834,1239
Madinah, Ramadan,1040,176,59,1275,355,99,875,1329
Madinah, Shawwal,895,175,47,1117,324,74,830,1228
Madinah,Zy Aqeaada,872,185,33,1090,315,48,763,1126
Madinah,Zy Alhegga,829,184,53,1066,324,77,1016,1417
Makkah,Moharram,4405,119,55,4579,237,82,8752,9071
Makkah,Safar,4473,111,60,4644,295,82,8665,9042
Makkah,Rabeea Awal,4628,96,64,4788,256,82,8963,9301
Makkah,Rabeea Thany,4647,111,83,4841,314,95,8555,8964
Makkah,Jamad Awal,4419,81,52,4552,191,67,8263,8521
Makkah,Jamad Thany,4325,112,54,4491,243,69,8871,9183
Makkah,Ragab,4410,97,56,4563,238,71,8779,9088
Makkah, Shaaban,4591,85,53,4729,242,65,9024,9331
Makkah, Ramadan,4712,113,82,4907,351,134,11045,11530
Makkah, Shawwal,4520,72,44,4636,291,86,9048,9425
Makkah,Zy Aqeaada,4695,70,62,4827,194,71,9341,9606
Makkah,Zy Alhegga,4744,148,62,4954,262,65,9531,9858
Najran,Moharram,219,25,14,258,25,16,223,264
Najran,Safar,184,57,8,249,57,8,295,360
Najran,Rabeea Awal,195,58,11,264,58,11,315,384
Najran,Rabeea Thany,186,33,24,243,33,24,208,265
Najran,Jamad Awal,203,36,16,255,36,16,225,277
Najran,Jamad Thany,139,48,6,193,48,6,161,215
Najran,Ragab,219,58,13,290,58,9,219,286
Najran, Shaaban,161,64,19,244,73,22,200,295
Najran, Ramadan,277,82,13,372,94,16,247,357
Najran, Shawwal,203,63,17,283,63,17,262,342
Najran,Zy Aqeaada,185,75,9,269,75,9,237,321
Najran,Zy Alhegga,210,86,19,315,86,19,337,442
Northern Region,Moharram,1035,28,14,1077,52,14,2011,2077
Northern Region,Safar,1040,30,12,1082,47,15,2015,2077
Northern Region,Rabeea Awal,1246,26,10,1282,62,15,2320,2397
Northern Region,Rabeea Thany,1051,38,25,1114,79,30,1902,2011
Northern Region,Jamad Awal,1079,39,7,1125,78,10,1995,2083
Northern Region,Jamad Thany,1051,21,15,1087,44,22,1916,1982
Northern Region,Ragab,1174,40,10,1224,49,12,2157,2218
Northern Region, Shaaban,1046,22,11,1079,37,12,1948,1997
Northern Region, Ramadan,1028,27,11,1066,50,15,1959,2024
Northern Region, Shawwal,988,23,9,1020,44,12,1802,1858
Northern Region,Zy Aqeaada,1019,21,14,1054,38,18,1812,1868
Northern Region,Zy Alhegga,947,25,14,986,51,18,1856,1925
Qaseem,Moharram,1861,119,30,2010,118,37,3099,3254
Qaseem,Safar,2019,105,21,2145,165,25,3137,3327
Qaseem,Rabeea Awal,2039,90,23,2152,118,24,3320,3462
Qaseem,Rabeea Thany,1984,135,15,2134,122,22,3225,3369
Qaseem,Jamad Awal,2031,90,32,2153,114,40,3850,4004
Qaseem,Jamad Thany,1888,101,31,2020,119,30,3396,3545
Qaseem,Ragab,2286,88,29,2403,99,34,3939,4072
Qaseem, Shaaban,2271,108,22,2401,119,25,4319,4463
Qaseem, Ramadan,2271,96,36,2403,120,53,3940,4113
Qaseem, Shawwal,1976,149,27,2152,163,32,3009,3204
Qaseem,Zy Aqeaada,1780,99,30,1909,129,41,3057,3227
Qaseem,Zy Alhegga,1652,101,29,1782,127,34,3278,3439
Tabouk,Moharram,1250,140,30,1420,214,40,3726,3980
Tabouk,Safar,1470,126,42,1638,157,50,1901,2108
Tabouk,Rabeea Awal,1511,100,26,1637,170,40,2871,3081
Tabouk,Rabeea Thany,1713,93,33,1839,118,53,4768,4939
Tabouk,Jamad Awal,1737,81,22,1840,148,27,3501,3676
Tabouk,Jamad Thany,1579,82,21,1682,121,27,3875,4023
Tabouk,Ragab,1095,71,16,1182,123,28,3359,3510
Tabouk, Shaaban,845,133,29,1007,159,26,2248,2433
Tabouk, Ramadan,702,121,24,847,129,36,1943,2108
Tabouk, Shawwal,931,89,17,1037,118,23,2187,2328
Tabouk,Zy Aqeaada,811,95,32,938,143,51,2364,2558
Tabouk,Zy Alhegga,898,55,11,964,124,33,3955,4112
,,,,,,,,,
